topic,word,syllables
love,happy,2
love,sad,1
love,love,1
love,dumb,1
love,moving,2
love,silly,2
love,modern,2
love,quick,1
love,heart,1
love,true,1
love,whole,1
love,sink,1
love,trouble,2
love,simple,2
love,peace,1
love,rapture,2
love,tender,2
love,warmth,1
love,sweet,1
love,romantic,3
love,give,1
love,angel,2
love,honey,2
love,darling,2
love,savor,2
love,relish,2
love,hotdog,2
love,tea,1
love,worship,2
love,great,1
love,patient,2
love,wild,1
love,in,1
love,a,1
love,the,1
love,chosen,2
love,the,1
love,delight,2
space,space,1
space,celestial,3
space,cosmic,2
space,cosmo,1
space,heavenly,3
space,stars,1
space,star,1
space,sun,1
space,neptune,2
space,saturn,2
space,rings,1
space,asteroid,3
space,ufo,3
space,shooting,2
space,comet,2
space,black,1
space,hole,1
space,milky,2
space,way,1
space,orbit,2
space,nova,1
space,is,1
space,are,1
space,am,1
space,the,1
space,Earth,1
space,spins,1
space,axis,2
space,neutron,2
space,planet,2
space,world,1
space,sea,1
